# RTVLAS Proof Log
frame=30 timestamp_ms=6000 verdict=Flag trust=0.981 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=31 timestamp_ms=6200 verdict=Flag trust=0.965 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=32 timestamp_ms=6400 verdict=Flag trust=0.950 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=33 timestamp_ms=6600 verdict=Flag trust=0.934 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=34 timestamp_ms=6800 verdict=Flag trust=0.918 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=35 timestamp_ms=7000 verdict=Flag trust=0.902 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=36 timestamp_ms=7200 verdict=Flag trust=0.886 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=37 timestamp_ms=7400 verdict=Flag trust=0.871 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=38 timestamp_ms=7600 verdict=Flag trust=0.855 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=39 timestamp_ms=7800 verdict=Flag trust=0.839 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=40 timestamp_ms=8000 verdict=Flag trust=0.823 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=41 timestamp_ms=8200 verdict=Flag trust=0.807 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=42 timestamp_ms=8400 verdict=Flag trust=0.792 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=43 timestamp_ms=8600 verdict=Flag trust=0.776 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=44 timestamp_ms=8800 verdict=Flag trust=0.760 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=45 timestamp_ms=9000 verdict=Flag trust=0.744 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=46 timestamp_ms=9200 verdict=Flag trust=0.728 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=47 timestamp_ms=9400 verdict=Flag trust=0.713 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=48 timestamp_ms=9600 verdict=Flag trust=0.697 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=49 timestamp_ms=9800 verdict=Flag trust=0.681 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=50 timestamp_ms=10000 verdict=Flag trust=0.665 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=51 timestamp_ms=10200 verdict=Flag trust=0.649 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=52 timestamp_ms=10400 verdict=Flag trust=0.634 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=53 timestamp_ms=10600 verdict=Flag trust=0.618 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=54 timestamp_ms=10800 verdict=Flag trust=0.602 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=55 timestamp_ms=11000 verdict=Flag trust=0.586 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=56 timestamp_ms=11200 verdict=Flag trust=0.570 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=57 timestamp_ms=11400 verdict=Flag trust=0.555 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=58 timestamp_ms=11600 verdict=Flag trust=0.539 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
frame=59 timestamp_ms=11800 verdict=Flag trust=0.523 causes=[Flight Corridor Containment=Flag, Temporal Coherence=Flag, Mission Solution Quality=Flag]
